Discount,Buy_One_Get_One,Minimum Discount,Urban,Rural,Surburban,Web,Phone,Multichannel,Bundeled offers,CLTV_12_Months,Rabbit Night Light,Hot Water Bottle Keep Calm ,Hand Warmer Owl Design,Bicycle Puncture Repair Kit  ,Please One Person Metal Sign,Giant 50's Christmas Cracker,Set of 20 Vintage Christmas Napkins,Assorted Colour Bird Ornament,Retrospot Tea Set Ceramic 11 PC,Popcorn Holder,Retrospot Heart Hot Water Bottle
0,0,1,0,0,1,1,0,0,0,718014.0239,0.14,1,0.5,0.8,0.8,0.44,0.44,0.8,0.14,0.13,?
0,1,0,0,0,1,0,0,1,0,0,0.54,0.11,0.25,0.12,0.18,0.15,1,0.09,0.13,0.12,0.15
1,0,0,1,0,0,1,0,0,0,0,0.12,0.12,0.06,0.12,0.18,0.12,0.66,0.19,0.13,0.08,0.16
1,0,0,0,1,0,0,1,0,0,757617.1485,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.13,0.1,?
0,1,0,0,0,1,1,0,0,0,0,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
0,0,1,0,1,0,0,1,0,0,1225683.403,1,0.14,0.21,0.24,0.21,0.44,0.71,0.19,0.08,0.14,0.06
1,0,0,0,1,0,0,0,1,0,894074.5956,0.57,0.57,0.66,1,0.85,0.71,0.57,0.14,0.14,0.14,?
1,0,0,1,0,0,1,0,0,0,567896.7118,?,0.8,0.18,0.57,?,?,?,?,?,?,?
0,0,1,1,0,0,0,0,1,0,0,?,0.66,0.21,0.66,?,?,?,0.8,0.12,0.12,?
0,1,0,0,0,1,1,0,0,0,679739.0009,0.4,0.36,1,0.8,?,0.15,0.1,0.8,0.16,0.1,0.09
0,0,1,0,1,0,0,1,0,0,3153854.399,?,0.66,?,0.24,?,?,?,0.19,?,?,?
1,0,0,1,0,0,1,0,0,0,439204.5205,0.8,?,0.21,0.17,0.8,0.8,0.21,?,?,0.17,?
0,0,1,1,0,0,0,1,0,0,669843.8731,?,0.8,0.18,0.57,?,0.17,?,0.14,0.17,?,?
1,0,0,0,0,1,1,0,0,1,905153.1259,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.1,0.08,?
0,0,1,0,1,0,1,0,0,0,928171.8226,0.4,0.36,1,0.8,?,0.15,0.1,0.8,0.16,0.1,0.09
1,0,0,1,0,0,1,0,0,0,503391.895,0.08,0.08,0.08,0.08,0.62,0.08,0.08,0.21,0.08,0.55,0.06
1,0,0,0,1,0,0,0,1,1,2018198.774,0.8,0.14,0.14,0.4,0.17,?,0.14,?,0.13,0.14,?
1,0,0,1,0,0,0,1,0,0,1031781.774,1,0.19,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
0,1,0,0,0,1,1,0,0,0,1569921.468,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,0,0,1,1,0,0,1,693406.0807,0.33,1,0.4,0.44,0.57,?,0.4,0.57,0.44,0.12,?
1,0,0,0,0,1,1,0,0,0,0,0.5,0.83,1,0.62,0.16,0.16,0.16,?,?,0.16,0.19
0,0,1,1,0,0,0,1,0,0,690111.3104,0.08,0.08,0.08,0.08,0.6,0.08,0.08,0.21,0.1,0.8,0.09
0,0,1,0,0,1,1,0,0,0,1249181.475,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
0,1,0,0,0,1,0,1,0,0,212861.0058,0.6,0.08,0.23,0.44,0.08,0.08,0.08,0.8,0.11,0.08,?
0,0,1,0,0,1,1,0,0,0,949351.8971,0.57,1,0.15,0.15,?,0.44,0.15,?,?,0.15,?
1,0,0,0,0,1,0,0,1,1,558781.1311,0.8,0.13,0.13,0.13,0.17,?,0.13,?,0.13,0.13,?
1,0,0,0,0,1,0,1,0,0,897459.3065,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.13,0.55,0.06
0,0,1,1,0,0,0,1,0,0,669296.6256,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.13,0.55,0.06
0,0,1,0,0,1,0,1,0,0,0,0.12,0.8,0.18,0.57,?,0.16,?,0.16,?,0.16,0.16
0,1,0,0,0,1,0,1,0,0,244320.6927,0.12,0.8,?,0.8,?,0.15,?,0.14,0.17,?,0.16
0,0,1,1,0,0,0,0,1,0,637285.2829,?,0.19,?,?,?,?,?,?,?,?,?
0,0,1,1,0,0,0,1,0,0,113399.8179,?,?,0.14,0.57,0.8,?,?,?,?,0.14,?
0,0,1,0,1,0,1,0,0,0,0,?,0.66,?,0.24,?,0.17,?,0.19,0.17,?,?
0,1,0,0,1,0,0,0,1,0,361368.2079,0.12,0.12,1,0.12,0.57,0.12,0.13,0.19,?,0.13,0.16
0,1,0,1,0,0,1,0,0,0,0,0.54,0.66,0.25,0.12,0.88,0.15,1,0.8,0.12,0.12,0.15
0,0,1,1,0,0,0,1,0,0,124585.5305,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
1,0,0,0,0,1,1,0,0,0,1249619.497,0.06,0.11,0.06,0.66,0.18,0.4,0.66,0.09,0.13,0.08,0.06
0,1,0,0,0,1,1,0,0,0,799238.9668,?,0.8,0.18,0.57,?,?,?,?,?,?,?
1,0,0,1,0,0,0,1,0,0,1125551.007,?,0.66,?,0.24,?,?,?,0.19,?,?,?
0,1,0,1,0,0,0,1,0,0,82253.20899,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.13,0.08,0.06
1,0,0,0,1,0,1,0,0,0,2082562.462,0.08,0.08,0.08,0.08,0.62,0.08,0.08,0.21,0.08,0.55,0.06
0,1,0,0,1,0,1,0,0,0,498621.7029,0.33,0.8,0.18,0.57,0.57,?,0.4,0.57,0.44,0.12,?
0,1,0,1,0,0,1,0,0,0,0,0.08,0.08,0.08,0.08,0.18,0.08,0.08,0.21,0.13,0.08,0.06
1,0,0,0,0,1,0,1,0,0,0,0.66,0.14,0.14,0.4,1,0.55,0.14,0.25,0.11,0.14,?
0,0,1,0,0,1,1,0,0,0,361600.6459,0.4,0.36,1,0.8,0.18,0.4,0.1,0.8,0.16,0.08,0.06
0,0,1,0,0,1,0,0,1,0,1021369.236,0.66,0.18,1,0.66,0.83,0.4,0.66,0.09,0.22,0.08,0.06
0,1,0,0,1,0,1,0,0,0,0,?,0.19,?,?,?,?,?,?,?,?,?
0,1,0,0,0,1,1,0,0,0,334443.6984,0.19,0.16,0.16,1,0.8,0.4,0.66,0.16,0.16,0.08,0.06
0,1,0,1,0,0,1,0,0,0,822680.6197,0.4,0.36,1,0.8,?,0.15,0.1,0.8,0.16,0.1,0.09
1,0,0,0,0,1,1,0,0,0,0,?,0.66,0.21,0.66,?,?,?,0.8,0.12,0.12,?
0,0,1,1,0,0,0,1,0,0,228636.3613,?,0.8,?,0.8,?,0.17,?,0.14,0.17,?,?
0,1,0,0,0,1,0,0,1,1,321709.9576,1,0.66,0.57,0.5,0.6,0.4,0.4,0.57,0.4,0.8,0.06
1,0,0,0,1,0,0,0,1,1,0,0.6,0.08,0.23,0.44,0.08,0.08,0.08,0.8,0.11,0.08,?
1,0,0,0,1,0,1,0,0,1,666369.9195,0.17,0.8,0.21,0.57,0.21,0.4,0.21,0.09,0.13,0.17,0.06
0,1,0,0,0,1,1,0,0,0,0,0.14,0.21,?,0.14,?,?,?,0.17,?,?,?
0,0,1,0,0,1,1,0,0,0,3144590.87,?,0.8,0.18,0.57,?,?,?,?,?,?,?
0,1,0,1,0,0,0,0,1,0,0,?,0.19,?,?,?,?,?,?,?,?,?
0,1,0,0,0,1,1,0,0,0,0,0.8,0.21,0.8,0.14,1,0.8,0.8,0.35,0.11,?,?
1,0,0,1,0,0,1,0,0,0,306070.4166,?,0.8,0.18,0.57,?,?,?,?,?,?,?
0,1,0,1,0,0,1,0,0,1,3610162.231,0.8,?,0.13,0.44,0.17,0.15,?,0.8,0.13,0.13,0.09
1,0,0,1,0,0,0,1,0,0,0,?,0.8,?,0.8,?,0.17,?,0.14,0.17,?,?
0,1,0,0,0,1,0,0,1,0,325909.7507,?,?,?,?,?,?,?,?,?,0.16,?
0,0,1,0,0,1,0,1,0,0,378736.8385,?,0.8,0.18,0.57,?,?,?,?,?,?,?
0,0,1,1,0,0,0,0,1,0,223127.347,0.17,?,0.21,0.16,0.21,0.16,0.21,0.16,?,0.17,?
0,1,0,0,1,0,0,0,1,0,986052.1239,0.54,0.66,0.25,0.12,0.88,0.15,1,0.8,0.12,0.12,0.15
0,1,0,0,0,1,1,0,0,0,1715961.954,0.54,0.57,0.25,0.12,0.85,0.15,1,0.14,0.12,0.12,0.15
0,1,0,0,0,1,0,1,0,1,413672.8444,0.4,0.8,1,0.8,0.1,0.15,0.1,0.14,0.17,0.1,?
0,1,0,1,0,0,1,0,0,1,0,0.8,0.13,0.13,0.5,0.17,0.4,0.13,?,0.13,0.13,0.09
0,0,1,0,1,0,0,1,0,0,393086.189,0.17,?,0.21,0.16,0.21,0.16,0.21,0.16,?,0.17,?
1,0,0,0,1,0,0,1,0,0,228964.7032,0.66,0.8,0.16,0.57,0.57,0.44,1,0.57,0.24,0.32,0.16
0,1,0,1,0,0,0,0,1,0,0,0.4,0.66,0.29,0.66,0.13,0.44,0.55,0.4,0.13,0.23,0.11
0,1,0,0,0,1,1,0,0,0,435364.2509,?,?,?,?,?,?,?,?,?,?,?
1,0,0,1,0,0,1,0,0,0,1601063.624,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
1,0,0,0,0,1,0,1,0,0,392709.0276,1,0.66,0.57,0.5,0.6,0.4,0.4,0.57,0.4,0.8,0.06
0,0,1,0,0,1,0,1,0,0,0,0.08,0.08,0.08,0.08,0.62,0.08,0.08,0.21,0.08,0.55,0.06
1,0,0,0,0,1,1,0,0,0,0,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
1,0,0,1,0,0,0,1,0,0,276691.6758,0.8,0.13,0.13,0.13,0.17,0.15,0.13,?,0.13,0.13,?
1,0,0,0,0,1,0,1,0,0,238325.7372,0.17,1,0.21,0.15,0.21,0.44,0.21,?,?,0.17,?
0,1,0,1,0,0,0,1,0,0,1618390.915,0.66,0.18,1,0.12,0.83,0.15,?,0.19,0.22,?,0.16
1,0,0,0,0,1,0,1,0,0,0,?,0.14,0.14,0.4,?,?,0.14,?,?,0.14,?
1,0,0,1,0,0,1,0,0,0,1087369.372,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
0,0,1,0,0,1,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,?
0,0,1,0,0,1,1,0,0,0,0,0.66,1,0.16,1,0.57,0.57,1,0.36,0.24,0.32,0.16
0,1,0,1,0,0,0,0,1,1,329487.6913,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
0,1,0,1,0,0,0,1,0,0,1620333.92,0.5,0.83,1,0.62,0.16,0.16,0.16,?,?,0.16,0.19
0,1,0,0,0,1,0,1,0,0,765370.0653,0.8,1,1,1,0.18,0.57,0.66,0.36,0.13,0.13,0.06
1,0,0,1,0,0,1,0,0,0,289201.3628,0.66,0.57,?,0.57,?,0.45,?,0.16,?,0.16,?
0,0,1,0,0,1,1,0,0,0,881438.948,0.12,0.12,?,0.12,?,0.12,?,0.19,?,?,0.16
0,0,1,0,0,1,1,0,0,0,0,0.66,0.18,1,?,0.83,?,?,?,0.22,?,?
0,0,1,0,0,1,0,0,1,0,0,0.57,0.57,0.66,1,0.85,0.71,0.57,0.14,0.09,0.22,0.11
1,0,0,0,0,1,0,0,1,1,659546.5613,0.8,1,1,1,0.18,0.57,0.66,0.36,0.13,0.13,0.06
0,1,0,0,0,1,1,0,0,0,1144938.582,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.1,0.08,?
1,0,0,0,0,1,1,0,0,0,0,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
1,0,0,0,0,1,0,1,0,0,531795.9008,0.8,0.83,0.8,0.62,0.16,0.8,0.16,?,0.24,0.16,0.19
0,1,0,0,1,0,1,0,0,1,931519.3023,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,0,0,1,0,1,0,1,0,0.44,0.66,0.21,0.66,0.88,0.44,0.55,0.8,0.12,0.12,0.11
1,0,0,0,1,0,0,1,0,0,0,0.14,0.8,0.14,0.57,0.8,?,?,0.8,0.12,0.14,?
0,0,1,0,1,0,0,1,0,0,132956.3657,0.4,?,0.29,0.66,0.21,0.13,1,0.4,0.13,0.23,0.15
0,1,0,0,0,1,0,0,1,0,0,0.66,0.57,1,1,0.83,0.71,1,0.14,0.22,0.32,0.16
1,0,0,0,1,0,0,1,0,1,0,0.5,0.83,1,0.62,0.16,0.16,0.16,?,?,0.16,0.19
0,1,0,1,0,0,0,1,0,0,1369285.563,?,?,?,?,?,?,?,?,?,0.16,?
1,0,0,0,1,0,1,0,0,0,643147.3334,?,?,?,?,?,?,?,?,?,0.16,?
0,1,0,0,0,1,0,1,0,0,0,1,0.8,0.55,0.57,0.62,0.15,0.71,0.57,0.08,0.16,0.06
0,1,0,0,1,0,1,0,0,0,786729.1358,0.4,0.36,1,0.8,?,0.15,0.1,0.8,0.16,0.1,0.09
0,1,0,1,0,0,0,1,0,1,1557369.662,0.66,0.8,0.16,0.57,0.57,0.44,1,0.57,0.24,0.16,0.16
0,1,0,1,0,0,0,1,0,0,361054.1614,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.16,0.06
0,0,1,0,0,1,0,1,0,0,674900.338,0.14,0.14,0.5,0.8,0.8,0.44,0.44,0.8,0.14,0.16,?
0,0,1,1,0,0,0,1,0,0,711582.9693,?,0.8,0.18,0.57,?,?,?,?,?,0.16,?
1,0,0,0,0,1,0,1,0,1,872675.2162,0.6,0.08,0.23,0.44,0.08,0.08,0.08,0.8,0.11,0.08,?
0,0,1,1,0,0,0,1,0,0,932638.739,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,1,0,1,0,0,1,0,0,0,711212.4682,0.4,0.36,1,0.8,?,0.15,0.1,0.8,0.16,0.1,0.09
0,0,1,1,0,0,0,1,0,0,537458.4253,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
0,0,1,0,1,0,0,1,0,0,310612.3845,0.06,0.11,0.06,0.66,0.18,0.4,0.66,0.09,0.13,0.08,0.06
1,0,0,1,0,0,0,1,0,0,622754.191,1,0.36,0.44,0.8,0.88,0.44,0.11,0.8,0.5,1,0.11
1,0,0,0,0,1,0,1,0,0,1056086.49,0.57,0.57,0.66,1,0.85,0.71,0.57,0.14,0.1,0.08,?
1,0,0,1,0,0,0,1,0,0,149861.7095,0.57,0.57,0.15,0.57,0.57,0.44,0.15,0.14,0.17,0.15,0.16
1,0,0,1,0,0,0,0,1,0,1104944.321,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,0,1,0,0,1,1,0,0,0,509370.6109,0.4,0.36,1,0.8,0.57,0.1,0.1,0.8,0.16,0.1,?
0,0,1,1,0,0,0,1,0,0,1054676.965,0.66,0.66,0.16,0.66,0.57,0.15,1,0.8,0.24,0.32,0.16
0,0,1,0,0,1,0,0,1,0,408153.5735,?,0.66,?,0.24,?,?,?,0.19,?,?,?
1,0,0,1,0,0,1,0,0,0,816592.7843,?,0.66,?,0.24,?,?,?,0.19,?,?,?
0,0,1,1,0,0,1,0,0,0,765333.4419,0.57,1,0.15,0.15,?,0.44,0.15,?,?,0.15,?
0,0,1,0,0,1,1,0,0,0,36774.21718,?,?,?,?,?,0.15,?,?,?,?,?
0,1,0,1,0,0,1,0,0,0,956073.2062,0.6,0.08,0.23,0.44,0.08,0.08,0.08,0.8,0.11,0.08,?
1,0,0,0,0,1,0,1,0,0,628643.0165,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.1,0.08,?
0,0,1,0,0,1,0,0,1,0,1326463.922,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.13,0.55,0.06
0,1,0,0,0,1,0,1,0,0,1473011.057,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
1,0,0,1,0,0,0,1,0,0,378794.2591,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,0,0,1,0,1,0,0,611164.3735,0.06,0.11,0.06,0.66,0.18,0.4,0.66,0.09,0.13,0.08,0.06
0,0,1,0,0,1,1,0,0,0,779940.988,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
1,0,0,1,0,0,1,0,0,0,470525.1041,0.06,0.11,0.16,0.16,0.18,0.16,0.66,0.16,0.13,0.16,0.06
1,0,0,0,0,1,1,0,0,0,692774.564,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,0,0,1,0,0,1,0,955927.2046,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.1,0.08,?
1,0,0,0,0,1,1,0,0,0,2202358.207,0.6,0.08,0.23,0.44,0.08,0.08,0.08,0.8,0.11,0.08,?
0,0,1,1,0,0,0,0,1,0,797240.1654,0.33,1,0.4,0.44,0.57,?,0.4,0.57,0.44,0.12,?
0,0,1,0,0,1,0,1,0,0,257431.8533,0.12,0.66,?,0.12,0.88,0.12,0.55,0.19,0.09,0.22,0.16
0,1,0,0,0,1,1,0,0,0,448624.9454,?,0.8,?,0.8,?,0.17,?,0.14,0.17,?,?
0,1,0,0,0,1,0,1,0,0,203218.8775,?,0.66,?,0.24,?,?,?,0.19,?,?,?
0,0,1,0,1,0,1,0,0,0,664752.0388,?,0.66,?,0.24,?,?,?,0.19,?,?,?
0,0,1,1,0,0,0,1,0,0,657726.8797,0.44,0.66,?,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,1,0,1,0,0,1,0,0,0,2013340.046,0.8,0.66,0.21,0.17,?,0.8,0.21,0.19,?,0.17,?
1,0,0,1,0,0,1,0,0,0,982659.9722,0.57,0.66,0.21,0.66,0.85,0.71,0.57,0.8,0.12,0.12,?
0,0,1,0,1,0,0,1,0,0,961154.9615,0.4,?,0.29,0.66,0.13,0.13,?,0.4,0.13,0.23,?
0,1,0,0,0,1,1,0,0,1,713540.6722,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.1,0.08,?
0,0,1,1,0,0,1,0,0,0,727467.4938,1,0.66,0.57,0.5,0.6,0.4,0.4,0.57,0.4,0.8,0.06
1,0,0,1,0,0,1,0,0,0,2659144.427,?,0.19,?,?,?,?,?,?,?,?,?
0,1,0,0,0,1,1,0,0,0,307949.943,?,0.66,?,0.24,?,?,?,0.19,?,?,?
1,0,0,0,1,0,1,0,0,0,76029.79193,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.08,0.55,0.06
0,1,0,0,0,1,0,0,1,0,437845.6946,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,0,0,1,0,0,1,0,177912.0224,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,1,0,1,0,0,0,0,1,0,0,0.66,0.18,1,?,0.83,?,?,?,0.22,?,?
0,0,1,1,0,0,0,0,1,0,1065990.966,0.6,0.08,0.23,0.44,0.08,0.08,0.08,0.8,0.11,0.08,?
0,1,0,1,0,0,1,0,0,0,373240.9099,0.57,0.57,0.66,1,0.85,0.71,0.57,0.14,0.1,0.08,?
0,0,1,1,0,0,0,1,0,0,537048.7586,?,?,?,?,?,0.15,?,?,?,?,?
0,0,1,1,0,0,1,0,0,0,0,0.17,?,0.21,0.57,0.21,?,0.21,?,?,0.17,?
0,1,0,0,1,0,0,1,0,0,1065927.338,?,?,?,?,?,0.15,?,?,?,0.16,?
1,0,0,1,0,0,0,1,0,0,313134.286,?,?,?,?,?,0.15,?,?,?,0.16,?
0,0,1,1,0,0,0,1,0,0,0,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,0,1,0,0,1,1,0,0,0,4390115.768,0.33,1,0.16,0.16,0.57,0.16,0.4,0.16,0.44,0.16,?
1,0,0,1,0,0,0,1,0,0,2768609.14,0.8,0.13,0.13,0.57,0.17,0.44,0.13,0.57,0.13,0.13,0.06
0,0,1,0,0,1,0,0,1,0,0,0.54,0.66,0.25,0.12,0.88,0.15,1,0.8,0.12,0.12,0.15
0,0,1,0,0,1,0,0,1,0,0,1,0.8,0.55,0.57,0.62,0.16,0.71,0.16,0.08,0.16,0.06
1,0,0,1,0,0,0,1,0,0,1710583.653,?,?,?,?,?,?,?,?,?,0.16,?
1,0,0,0,0,1,0,1,0,1,0,?,?,?,?,?,?,?,?,?,0.16,?
0,0,1,1,0,0,0,1,0,0,435956.1944,0.08,0.66,0.21,0.66,0.08,0.08,0.08,0.8,0.12,0.12,?
0,0,1,1,0,0,1,0,0,0,63463.79826,0.8,?,0.21,0.17,0.8,0.8,0.21,?,?,0.17,?
1,0,0,0,0,1,1,0,0,0,1399492.794,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
0,0,1,0,0,1,0,1,0,0,0,0.06,0.11,0.06,0.66,0.18,0.4,0.66,0.09,0.13,0.08,0.06
1,0,0,0,1,0,1,0,0,0,0,?,?,0.16,0.16,?,0.16,?,0.16,?,0.16,?
1,0,0,0,1,0,0,1,0,0,0,0.8,0.16,0.8,0.16,1,0.8,0.8,0.35,0.19,0.8,0.09
1,0,0,1,0,0,1,0,0,0,0,0.8,0.19,0.55,0.57,0.62,0.8,0.21,0.57,0.08,0.17,0.06
0,0,1,0,0,1,1,0,0,0,835427.468,0.54,0.66,0.25,0.12,0.6,0.15,1,?,0.12,0.12,0.15
0,0,1,0,0,1,1,0,0,0,0,1,0.66,0.57,0.5,0.6,0.4,0.4,0.57,0.4,0.8,0.06
1,0,0,1,0,0,0,1,0,0,0,0.3,1,0.2,0.5,0.57,0.4,0.3,0.44,0.4,0.1,0.09
0,0,1,1,0,0,1,0,0,0,0,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,1,0,0,0,1,0,0,1,0,0,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,0,1,1,0,0,1,0,0,0,4799997.368,0.8,0.8,0.06,0.8,0.18,0.17,0.66,0.14,0.17,0.08,0.06
1,0,0,1,0,0,1,0,0,1,0,0.57,1,0.15,0.15,0.08,0.44,0.15,0.21,0.1,0.15,?
0,0,1,0,1,0,1,0,0,0,333332.1672,?,?,0.14,0.57,0.8,?,?,?,?,0.14,?
1,0,0,1,0,0,1,0,0,0,0,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
0,1,0,0,0,1,1,0,0,0,0,0.3,1,0.2,0.44,0.57,0.15,0.3,0.44,0.11,0.1,0.09
1,0,0,0,0,1,1,0,0,0,13435180.4,0.8,1,1,1,0.57,0.57,0.4,0.36,0.44,0.13,?
